username,LABEL,created_at,user_id,account_age_years,total_posts,followers_count,following_count,verified,verified_type,statuses_count,posting_frequency,tweet_text,tweet_created_at,is_retweet,has_media,urls,mentions,hashtags
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,RT to #VoiceSaveAdam https://t.co/TVUk94SYyY,2017-11-29 01:51:30+00:00,FALSE,FALSE,http://www.nbc.com/the-voice/app,,VoiceSaveAdam
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Adulting is hard.,2016-02-01 18:17:28+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Nothing a good pair of pearl earrings can't fix. https://t.co/7ouHqZAtRt,2016-01-29 18:09:05+00:00,FALSE,TRUE,https://x.com/CasieErp/status/693133778701582336/photo/1,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Finally a plumber that knows how to plumb,2015-11-30 22:08:42+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Last day with Lifetouch. Bittersweet. https://t.co/URyx4bo0nX,2015-11-20 03:00:33+00:00,FALSE,TRUE,https://x.com/CasieErp/status/667537989212372992/photo/1,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,My new job is fantastic 😁🎥📷,2015-08-04 23:20:42+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,My cat barks. http://t.co/InsLMR2XeC,2015-08-02 21:07:38+00:00,FALSE,TRUE,https://x.com/CasieErp/status/627948899097952256/photo/1,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Life today man. Life. http://t.co/XiDgLBwGaH,2015-07-25 21:47:59+00:00,FALSE,TRUE,https://x.com/CasieErp/status/625059950654541824/photo/1,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,I need ear plugs. If only they would stop talking....,2015-07-19 15:51:18+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,Just wanna stay in bed all day. Wishing clothes folded themselves...,2015-07-08 14:56:58+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,I has the twitter....,2014-05-21 20:19:26+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,just watched the jonah video. superrrrr sad story,2011-12-07 06:11:45+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,@NBCGrimm how do i watch the pilot episode right away!?,2011-10-29 04:51:01+00:00,FALSE,FALSE,,,
CasieErp,reliable,2009-10-13T14:53:54+00:00,82112948,15.75342466,32,19,84,FALSE,none,32,2.031304348,twitter....yeahh,2011-10-29 04:31:55+00:00,FALSE,FALSE,,,
